[0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 18, 18, 4, 3, 0.2222222222222222, 0.0, 0.0, 0.8333333333333334, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 10, 10, 2, 2, 0.2, 0.0, 0.0, 0.9, 'title']
[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 6, 6, 1, 0, 0.16666666666666666, 0.0, 0.0, 0.6666666666666666, 'title']
[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 6, 6, 1, 0, 0.16666666666666666, 0.0, 0.0, 0.6666666666666666, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 10, 10, 2, 2, 0.2, 0.0, 0.0, 0.9, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 10, 10, 2, 2, 0.2, 0.0, 0.0, 0.9, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 17, 17, 4, 3, 0.23529411764705882, 0.0, 0.0, 0.7647058823529411, 'title']
[0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 12, 12, 3, 2, 0.25, 0.0, 0.0, 0.8333333333333334, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 17, 17, 4, 3, 0.23529411764705882, 0.0, 0.0, 0.7647058823529411, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 14, 14, 1, 1, 0.07142857142857142, 0.0, 0.0, 0.9285714285714286, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 17, 17, 4, 3, 0.23529411764705882, 0.0, 0.0, 0.7647058823529411, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 17, 17, 3, 3, 0.17647058823529413, 0.0, 0.0, 0.8823529411764706, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 17, 17, 4, 3, 0.23529411764705882, 0.0, 0.0, 0.7647058823529411, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 24, 24, 3, 3, 0.125, 0.0, 0.0, 0.875, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 17, 17, 4, 3, 0.23529411764705882, 0.0, 0.0, 0.7647058823529411, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 17, 17, 4, 3, 0.23529411764705882, 0.0, 0.0, 0.7647058823529411, 'title']
[1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 13, 13, 2, 2, 0.15384615384615385, 0.0, 0.07692307692307693, 0.8461538461538461, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 17, 17, 4, 3, 0.23529411764705882, 0.0, 0.0, 0.7647058823529411, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 17, 17, 4, 3, 0.23529411764705882, 0.0, 0.0, 0.7647058823529411, 'title']
[1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 13, 13, 2, 2, 0.15384615384615385, 0.0, 0.07692307692307693, 0.8461538461538461, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 17, 17, 4, 3, 0.23529411764705882, 0.0, 0.0, 0.7647058823529411, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 17, 17, 4, 3, 0.23529411764705882, 0.0, 0.0, 0.7647058823529411, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 17, 17, 4, 3, 0.23529411764705882, 0.0, 0.0, 0.7647058823529411, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 17, 17, 4, 3, 0.23529411764705882, 0.0, 0.0, 0.7647058823529411, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 17, 17, 3, 3, 0.17647058823529413, 0.0, 0.0, 0.8823529411764706, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 13, 13, 3, 3, 0.23076923076923078, 0.0, 0.0, 0.8461538461538461, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 14, 14, 2, 2, 0.14285714285714285, 0.0, 0.0, 0.9285714285714286, 'title']
[0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 11, 11, 2, 2, 0.18181818181818182, 0.0, 0.0, 0.9090909090909091, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 9, 9, 2, 2, 0.2222222222222222, 0.0, 0.0, 0.8888888888888888, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 9, 9, 2, 2, 0.2222222222222222, 0.0, 0.0, 0.8888888888888888, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 13, 13, 3, 3, 0.23076923076923078, 0.0, 0.0, 0.8461538461538461, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 14, 14, 2, 2, 0.14285714285714285, 0.0, 0.0, 0.9285714285714286, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 13, 13, 3, 3, 0.23076923076923078, 0.0, 0.0, 0.8461538461538461, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 13, 13, 3, 3, 0.23076923076923078, 0.0, 0.0, 0.8461538461538461, 'title']
[0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 18, 18, 2, 2, 0.1111111111111111, 0.0, 0.0, 0.8888888888888888, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 7, 7, 1, 1, 0.14285714285714285, 0.0, 0.0, 1.0, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 9, 9, 2, 2, 0.2222222222222222, 0.0, 0.0, 0.8888888888888888, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 13, 13, 3, 3, 0.23076923076923078, 0.0, 0.0, 0.8461538461538461, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 13, 13, 3, 3, 0.23076923076923078, 0.0, 0.0, 0.8461538461538461, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 9, 9, 2, 2, 0.2222222222222222, 0.0, 0.0, 0.8888888888888888, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 5, 5, 1, 1, 0.2, 0.0, 0.0, 1.0, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 14, 14, 2, 2, 0.14285714285714285, 0.0, 0.0, 0.9285714285714286, 'title']
[0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 11, 11, 2, 2, 0.18181818181818182, 0.0, 0.0, 0.9090909090909091, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 13, 13, 3, 3, 0.23076923076923078, 0.0, 0.0, 0.8461538461538461, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 9, 9, 1, 1, 0.1111111111111111, 0.0, 0.0, 1.0, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 13, 13, 3, 3, 0.23076923076923078, 0.0, 0.0, 0.8461538461538461, 'title']
[1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 18, 18, 3, 3, 0.16666666666666666, 0.0, 0.05555555555555555, 0.7777777777777778, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 9, 9, 1, 1, 0.1111111111111111, 0.0, 0.0, 1.0, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 13, 13, 3, 3, 0.23076923076923078, 0.0, 0.0, 0.8461538461538461, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 13, 13, 3, 3, 0.23076923076923078, 0.0, 0.0, 0.8461538461538461, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 13, 13, 3, 3, 0.23076923076923078, 0.0, 0.0, 0.8461538461538461, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 13, 13, 3, 3, 0.23076923076923078, 0.0, 0.0, 0.8461538461538461, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 13, 13, 3, 3, 0.23076923076923078, 0.0, 0.0, 0.8461538461538461, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 13, 13, 3, 3, 0.23076923076923078, 0.0, 0.0, 0.8461538461538461, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 18, 18, 2, 2, 0.1111111111111111, 0.0, 0.0, 0.9444444444444444, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 13, 13, 3, 3, 0.23076923076923078, 0.0, 0.0, 0.8461538461538461, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 13, 13, 3, 3, 0.23076923076923078, 0.0, 0.0, 0.8461538461538461, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 13, 13, 3, 3, 0.23076923076923078, 0.0, 0.0, 0.8461538461538461, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 13, 13, 3, 3, 0.23076923076923078, 0.0, 0.0, 0.8461538461538461, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 9, 9, 1, 1, 0.1111111111111111, 0.0, 0.0, 1.0, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 13, 13, 3, 3, 0.23076923076923078, 0.0, 0.0, 0.8461538461538461, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 10, 10, 3, 3, 0.3, 0.0, 0.0, 0.8, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 12, 12, 3, 3, 0.25, 0.0, 0.0, 0.8333333333333334, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 12, 12, 3, 3, 0.25, 0.0, 0.0, 0.8333333333333334, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 18, 18, 2, 2, 0.1111111111111111, 0.0, 0.0, 0.9444444444444444, 'title']
[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 6, 6, 1, 0, 0.16666666666666666, 0.0, 0.0, 0.6666666666666666, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 12, 12, 3, 3, 0.25, 0.0, 0.0, 0.8333333333333334, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 12, 12, 3, 3, 0.25, 0.0, 0.0, 0.8333333333333334, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 12, 12, 3, 3, 0.25, 0.0, 0.0, 0.8333333333333334, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 12, 12, 3, 3, 0.25, 0.0, 0.0, 0.8333333333333334, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 12, 12, 3, 3, 0.25, 0.0, 0.0, 0.8333333333333334, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 12, 12, 3, 3, 0.25, 0.0, 0.0, 0.8333333333333334, 'title']
[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 6, 6, 1, 0, 0.16666666666666666, 0.0, 0.0, 0.6666666666666666, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 12, 12, 3, 3, 0.25, 0.0, 0.0, 0.8333333333333334, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 12, 12, 3, 3, 0.25, 0.0, 0.0, 0.8333333333333334, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 12, 12, 3, 3, 0.25, 0.0, 0.0, 0.8333333333333334, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 12, 12, 3, 3, 0.25, 0.0, 0.0, 0.8333333333333334, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 12, 12, 3, 3, 0.25, 0.0, 0.0, 0.8333333333333334, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 12, 12, 3, 3, 0.25, 0.0, 0.0, 0.8333333333333334, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 12, 12, 3, 3, 0.25, 0.0, 0.0, 0.8333333333333334, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 9, 9, 2, 2, 0.2222222222222222, 0.0, 0.0, 0.8888888888888888, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 12, 12, 3, 3, 0.25, 0.0, 0.0, 0.8333333333333334, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 15, 15, 3, 3, 0.2, 0.0, 0.0, 0.8666666666666667, 'title']
[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 6, 6, 1, 0, 0.16666666666666666, 0.0, 0.0, 0.6666666666666666, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 15, 15, 3, 3, 0.2, 0.0, 0.0, 0.8666666666666667, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 8, 8, 1, 1, 0.125, 0.0, 0.0, 1.0, 'title']
[0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 19, 19, 4, 3, 0.21052631578947367, 0.0, 0.0, 0.8421052631578947, 'title']
[0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 19, 19, 4, 3, 0.21052631578947367, 0.0, 0.0, 0.8421052631578947, 'title']
[0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 16, 16, 4, 3, 0.25, 0.0, 0.0, 0.8125, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 15, 15, 3, 3, 0.2, 0.0, 0.0, 0.8666666666666667, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 6, 6, 2, 2, 0.3333333333333333, 0.0, 0.0, 0.8333333333333334, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 6, 6, 2, 2, 0.3333333333333333, 0.0, 0.0, 0.8333333333333334, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 15, 15, 3, 3, 0.2, 0.0, 0.0, 0.8666666666666667, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 15, 15, 3, 3, 0.2, 0.0, 0.0, 0.8666666666666667, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 6, 6, 2, 2, 0.3333333333333333, 0.0, 0.0, 0.8333333333333334, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 26, 26, 4, 4, 0.15384615384615385, 0.0, 0.0, 0.8846153846153846, 'title']
[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 6, 6, 1, 0, 0.16666666666666666, 0.0, 0.0, 0.6666666666666666, 'title']
[0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 19, 19, 4, 3, 0.21052631578947367, 0.0, 0.0, 0.8421052631578947, 'title']
[0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 23, 23, 3, 2, 0.13043478260869565, 0.0, 0.0, 0.9130434782608695, 'title']
[0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 21, 21, 4, 3, 0.19047619047619047, 0.0, 0.0, 0.8571428571428571, 'title']
[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 6, 6, 1, 0, 0.16666666666666666, 0.0, 0.0, 0.6666666666666666, 'title']
[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 6, 6, 1, 0, 0.16666666666666666, 0.0, 0.0, 0.6666666666666666, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 5, 5, 1, 1, 0.2, 0.0, 0.0, 1.0, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 16, 16, 3, 3, 0.1875, 0.0, 0.0, 0.875, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 6, 6, 1, 1, 0.16666666666666666, 0.0, 0.0, 1.0, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 17, 17, 4, 4, 0.23529411764705882, 0.0, 0.0, 0.8235294117647058, 'title']
[0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 18, 18, 4, 3, 0.2222222222222222, 0.0, 0.0, 0.8333333333333334, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 8, 8, 1, 1, 0.125, 0.0, 0.0, 1.0, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 8, 8, 1, 1, 0.125, 0.0, 0.0, 1.0, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 16, 16, 2, 2, 0.125, 0.0, 0.0, 0.875, 'title']
[0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 18, 18, 4, 3, 0.2222222222222222, 0.0, 0.0, 0.8333333333333334, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 24, 24, 4, 3, 0.16666666666666666, 0.0, 0.0, 0.8333333333333334, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 16, 16, 4, 4, 0.25, 0.0, 0.0, 0.8125, 'title']
[1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 33, 33, 4, 4, 0.12121212121212122, 0.0, 0.12121212121212122, 0.7878787878787878, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 20, 20, 3, 3, 0.15, 0.0, 0.0, 0.9, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 16, 16, 3, 3, 0.1875, 0.0, 0.0, 0.875, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 13, 13, 2, 2, 0.15384615384615385, 0.0, 0.0, 0.9230769230769231, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 16, 16, 3, 3, 0.1875, 0.0, 0.0, 0.875, 'title']
[0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 18, 18, 4, 3, 0.2222222222222222, 0.0, 0.0, 0.8333333333333334, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 14, 14, 2, 2, 0.14285714285714285, 0.0, 0.0, 0.9285714285714286, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 6, 6, 1, 1, 0.16666666666666666, 0.0, 0.0, 1.0, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 17, 17, 2, 2, 0.11764705882352941, 0.0, 0.0, 0.9411764705882353, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 16, 16, 3, 3, 0.1875, 0.0, 0.0, 0.875, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 12, 12, 1, 1, 0.08333333333333333, 0.0, 0.0, 1.0, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 12, 12, 1, 1, 0.08333333333333333, 0.0, 0.0, 1.0, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 19, 19, 3, 3, 0.15789473684210525, 0.0, 0.0, 0.8947368421052632, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 8, 8, 1, 1, 0.125, 0.0, 0.0, 1.0, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 15, 15, 3, 3, 0.2, 0.0, 0.0, 0.8666666666666667, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 15, 15, 2, 2, 0.13333333333333333, 0.0, 0.0, 0.9333333333333333, 'title']
[0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 32, 32, 4, 2, 0.125, 0.0, 0.0, 0.90625, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 8, 8, 2, 2, 0.25, 0.0, 0.0, 0.875, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 19, 19, 4, 4, 0.21052631578947367, 0.0, 0.0, 0.8421052631578947, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 8, 8, 2, 2, 0.25, 0.0, 0.0, 0.875, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 11, 11, 2, 2, 0.18181818181818182, 0.0, 0.0, 0.9090909090909091, 'title']
[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 6, 6, 1, 0, 0.16666666666666666, 0.0, 0.0, 0.6666666666666666, 'title']
[1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 9, 9, 2, 2, 0.2222222222222222, 0.0, 0.1111111111111111, 0.7777777777777778, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 15, 15, 3, 3, 0.2, 0.0, 0.0, 0.8666666666666667, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 10, 10, 2, 2, 0.2, 0.0, 0.0, 0.9, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 4, 4, 1, 1, 0.25, 0.0, 0.0, 1.0, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 13, 13, 2, 2, 0.15384615384615385, 0.0, 0.0, 0.9230769230769231, 'title']
[0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 24, 24, 6, 6, 0.25, 0.0, 0.0, 0.7916666666666666, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 5, 5, 1, 1, 0.2, 0.0, 0.0, 1.0, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 11, 11, 2, 2, 0.18181818181818182, 0.0, 0.0, 0.9090909090909091, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 8, 8, 2, 2, 0.25, 0.0, 0.0, 0.875, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 15, 15, 3, 3, 0.2, 0.0, 0.0, 0.8666666666666667, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 19, 19, 4, 4, 0.21052631578947367, 0.0, 0.0, 0.8421052631578947, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 23, 23, 4, 3, 0.17391304347826086, 0.0, 0.0, 0.8260869565217391, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 12, 12, 3, 3, 0.25, 0.0, 0.0, 0.8333333333333334, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 33, 33, 5, 5, 0.15151515151515152, 0.0, 0.0, 0.8484848484848485, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 11, 11, 2, 2, 0.18181818181818182, 0.0, 0.0, 0.9090909090909091, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 11, 11, 2, 2, 0.18181818181818182, 0.0, 0.0, 0.9090909090909091, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 11, 11, 2, 2, 0.18181818181818182, 0.0, 0.0, 0.9090909090909091, 'title']
[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 6, 6, 1, 0, 0.16666666666666666, 0.0, 0.0, 0.6666666666666666, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 18, 18, 3, 3, 0.16666666666666666, 0.0, 0.0, 0.8888888888888888, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 25, 25, 3, 3, 0.12, 0.0, 0.0, 0.92, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 11, 11, 2, 2, 0.18181818181818182, 0.0, 0.0, 0.9090909090909091, 'title']
[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 6, 6, 1, 0, 0.16666666666666666, 0.0, 0.0, 0.6666666666666666, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 11, 11, 2, 2, 0.18181818181818182, 0.0, 0.0, 0.9090909090909091, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 13, 13, 1, 1, 0.07692307692307693, 0.0, 0.0, 1.0, 'title']
[1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 27, 27, 5, 4, 0.18518518518518517, 0.0, 0.07407407407407407, 0.7407407407407407, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 10, 10, 2, 2, 0.2, 0.0, 0.0, 0.9, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 23, 23, 4, 4, 0.17391304347826086, 0.0, 0.0, 0.8695652173913043, 'title']
[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 6, 6, 1, 0, 0.16666666666666666, 0.0, 0.0, 0.6666666666666666, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 19, 19, 6, 5, 0.3157894736842105, 0.0, 0.0, 0.6842105263157895, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 10, 10, 2, 2, 0.2, 0.0, 0.0, 0.9, 'title']
[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 13, 13, 2, 2, 0.15384615384615385, 0.0, 0.0, 0.9230769230769231, 'title']
[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 6, 6, 1, 0, 0.16666666666666666, 0.0, 0.0, 0.6666666666666666, 'title']
